################################################################################
# Pattern for testbench of the uGMT algo block
# Data format of muons:
# ID N PT PHI ETA CHARGE CHARGE_VALID QUALITY SORT EMPTY (ISO)
# where ID = {EMTF+/-, OMTF+/-, BMTF, OUT, EIMD, BIMD, OIMD}
# N is the rank for IMD / OUT and the link for inputs.
# ISO is optional and only present for OUT
#
# Data format for tracks:
# ID ETA0 PHI0 QUALITY0 ETA1 PHI1 QUALITY1 ETA2 PHI2 QUALITY2
# where ID = {FTRK+/-, OTRK+/-, BTRK}
# Tracks are given always for 3 consecutive muons
#
#
# Data format for output of serializer:
# ID VALID0 WORD0 VALID1 WORD1 ... VALIDN WORDN
# where ID = FRMx, x being the current 240 MHz cycle
# In WordX the X represents the link number, meaning that muon0 is x(FRM0, WORD0) + x(FRM1, WORD0) << 32.
################################################################################
# Event: 0
################################################################################
# Calo sums:
CALO0   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO1   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO2   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO3   0  1  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO4   0  2  4  4  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO5   0  2  4  4  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO6   0  2  4  4  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO7   0  2  4  4  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO8   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  0  0  0  0  0  0
CALO9   0  0  0  0  0  0  0  0  2  4  4  4  4  0  0  0  0  2  2  6  6  5  4  2  0  0  0  0  0  0  0  0  0  0  0  0
CALO10  0  0  0  0  0  0  0  0  2  4  4  4  4  0  0  0  0  4  4  8  8  6  4  2  0  0  0  0  0  0  0  0  0  0  0  0
CALO11  0  0  0  0  0  0  0  0  2  4  4  4  4  0  0  0  0  4  4  8  8  6  4  2  0  0  0  0  0  4  4  4  4  2  0  0
CALO12  0  0  0  0  0  0  0  0  2  4  4  4  4  0  0  0  0  4  4  6  6  4  2  1  0  0  0  0  0  4  4  4  4  2  0  0
CALO13  0  0  0  0  0  0  0  0  1  2  2  2  2  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  0  4  4  5  6  4  2  2
CALO14  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4 10 12 10  8  6
CALO15  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  2  8 10  9  8  6
CALO16  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6  8  8  8  6
CALO17  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6  8  8  8  6
CALO18  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  2  2  2  1
CALO19  2  1  0  0  0  0  0 12 12 12 12  6  0  2  2  2  2  1  0  0  0  0  2  2  2  2  1  0  0  0  0  0  0  2  2  2
CALO20  4  2  0  0  0  0  0 12 12 12 12  6  0  4  4  4  4  2  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  4  4  4
CALO21  4  2  0  0  0  0  0 12 12 12 12  6  0  4  4  4  4  2  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  4  4  4
CALO22  4  2  0  0  0  0  0 12 12 12 12  6  0  4  4  4  4  2  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  4  4  4
CALO23  4  2  0  0  0  0  0  6  6  6  6  3  0  4  4  4  4  2  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  4  4  4
CALO24  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO25  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO26  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO27  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
#TYPE    POS    PT   PHI   ETA   CHR  VCHR  QUAL  RANK  EMPT (ISO) (IDX) (PHIEXTRA) (ETAEXTRA)
BMTF       1     0     0     0     0     0     0     0     1
BMTF       2     0     0     0     0     0     0     0     1
BMTF       3     0     0     0     0     0     0     0     1
BMTF       4     0     0     0     0     0     0     0     1
BMTF       5     0     0     0     0     0     0     0     1
BMTF       6     0     0     0     0     0     0     0     1
BMTF       7     0     0     0     0     0     0     0     1
BMTF       8     0     0     0     0     0     0     0     1
BMTF       9     0     0     0     0     0     0     0     1
BMTF      10     0     0     0     0     0     0     0     1
BMTF      11     0     0     0     0     0     0     0     1
BMTF      12     0     0     0     0     0     0     0     1
BMTF      13     0     0     0     0     0     0     0     1
BMTF      14     0     0     0     0     0     0     0     1
BMTF      15     0     0     0     0     0     0     0     1
BMTF      16     0     0     0     0     0     0     0     1
BMTF      17     0     0     0     0     0     0     0     1
BMTF      18     0     0     0     0     0     0     0     1
BMTF      19     0     0     0     0     0     0     0     1
BMTF      20     0     0     0     0     0     0     0     1
BMTF      21     0     0     0     0     0     0     0     1
BMTF      22     0     0     0     0     0     0     0     1
BMTF      23     0     0     0     0     0     0     0     1
BMTF      24     0     0     0     0     0     0     0     1
BMTF      25     0     0     0     0     0     0     0     1
BMTF      26     0     0     0     0     0     0     0     1
BMTF      27     0     0     0     0     0     0     0     1
BMTF      28     0     0     0     0     0     0     0     1
BMTF      29     0     0     0     0     0     0     0     1
BMTF      30     0     0     0     0     0     0     0     1
BMTF      31     0     0     0     0     0     0     0     1
BMTF      32     0     0     0     0     0     0     0     1
BMTF      33     0     0     0     0     0     0     0     1
BMTF      34     0     0     0     0     0     0     0     1
BMTF      35     0     0     0     0     0     0     0     1
OMTF-      0     0     0     0     0     0     0     0     1
OMTF-      1     0     0     0     0     0     0     0     1
OMTF-      2     0     0     0     0     0     0     0     1
OMTF-      3     0     0     0     0     0     0     0     1
OMTF-      4     0     0     0     0     0     0     0     1
OMTF-      5     0     0     0     0     0     0     0     1
OMTF-      6     0     0     0     0     0     0     0     1
OMTF-      7     0     0     0     0     0     0     0     1
OMTF-      8     0     0     0     0     0     0     0     1
OMTF-      9     0     0     0     0     0     0     0     1
OMTF-     10     0     0     0     0     0     0     0     1
OMTF-     11     0     0     0     0     0     0     0     1
OMTF-     12     0     0     0     0     0     0     0     1
OMTF-     13     0     0     0     0     0     0     0     1
OMTF-     14     0     0     0     0     0     0     0     1
OMTF-     15     0     0     0     0     0     0     0     1
OMTF-     16     0     0     0     0     0     0     0     1
OMTF-     17     0     0     0     0     0     0     0     1
EMTF-      0     0     0     0     0     0     0     0     1
EMTF-      1     0     0     0     0     0     0     0     1
EMTF-      2     0     0     0     0     0     0     0     1
EMTF-      3     0     0     0     0     0     0     0     1
EMTF-      4     0     0     0     0     0     0     0     1
EMTF-      5     0     0     0     0     0     0     0     1
EMTF-      6     0     0     0     0     0     0     0     1
EMTF-      7     0     0     0     0     0     0     0     1
EMTF-      8     0     0     0     0     0     0     0     1
EMTF-      9     0     0     0     0     0     0     0     1
EMTF-     10     0     0     0     0     0     0     0     1
EMTF-     11     0     0     0     0     0     0     0     1
EMTF-     12     0     0     0     0     0     0     0     1
EMTF-     13     0     0     0     0     0     0     0     1
EMTF-     14     0     0     0     0     0     0     0     1
EMTF-     15     0     0     0     0     0     0     0     1
EMTF-     16     0     0     0     0     0     0     0     1
EMTF-     17     0     0     0     0     0     0     0     1
# OVERLAP/ENDCAP TRACKS
#TYPE   ETA0 FINE0  PHI0 QUAL0 EMPT0  ETA1 FINE1  PHI1 QUAL1 EMPT1  ETA2 FINE2  PHI2 QUAL2 EMPT2
# BARREL TRACKS
#TYPE   ETA0 FINE0  PHI0 QUAL0  SEL0 SIDE0  WHL0 SCT10 SCT20 SCT30 SCT40 EMPT0  ETA1 FINE1  PHI1 QUAL1  SEL1 SIDE1  WHL1 SCT11 SCT21 SCT31 SCT41 EMPT1  ETA2 FINE2  PHI2 QUAL2  SEL2 SIDE2  WHL2 SCT12 SCT22 SCT32 SCT42 EMPT2
ETRK+    153     1    77    13     0   148     1    88    15     0     0     0     0     0     1
ETRK+    153     1   -17     8     0   148     1    -6    15     0     0     0     0     0     1
ETRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
OTRK-      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK-      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK-      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK-      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK-      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK-      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK-      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK-      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK-      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK-      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK-      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK-      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
# Expected emulator output
#TYPE    POS    PT   PHI   ETA   CHR  VCHR  QUAL  RANK  EMPT (ISO) (IDX) (PHIEXTRA) (ETAEXTRA)
EIMD       0   126   112   148     1     1    12   141     0
EIMD       1    89   101   153     0     1    12   102     0
EIMD       2     0     0     0     0     0     0     0     1
EIMD       3     0     0     0     0     0     0     0     1
OIMD       4     0     0     0     0     0     0     0     1
OIMD       5     0     0     0     0     0     0     0     1
OIMD       6     0     0     0     0     0     0     0     1
OIMD       7     0     0     0     0     0     0     0     1
BIMD       8     0     0     0     0     0     0     0     1
BIMD       9     0     0     0     0     0     0     0     1
BIMD      10     0     0     0     0     0     0     0     1
BIMD      11     0     0     0     0     0     0     0     1
BIMD      12     0     0     0     0     0     0     0     1
BIMD      13     0     0     0     0     0     0     0     1
BIMD      14     0     0     0     0     0     0     0     1
BIMD      15     0     0     0     0     0     0     0     1
OIMD      16     0     0     0     0     0     0     0     1
OIMD      17     0     0     0     0     0     0     0     1
OIMD      18     0     0     0     0     0     0     0     1
OIMD      19     0     0     0     0     0     0     0     1
EIMD      20     0     0     0     0     0     0     0     1
EIMD      21     0     0     0     0     0     0     0     1
EIMD      22     0     0     0     0     0     0     0     1
EIMD      23     0     0     0     0     0     0     0     1
OUT        0   126   112   148     1     1    12   141     0     2     1   112   148
OUT        1    89   101   153     0     1    12   102     0     2     0   101   153
OUT        2     0     0     0     0     0     0     0     1     0     0     0     0
OUT        3     0     0     0     0     0     0     0     1     0     0     0     0
OUT        4     0     0     0     0     0     0     0     1     0     0     0     0
OUT        5     0     0     0     0     0     0     0     1     0     0     0     0
OUT        6     0     0     0     0     0     0     0     1     0     0     0     0
OUT        7     0     0     0     0     0     0     0     1     0     0     0     0
################################################################################
# Event: 2
################################################################################
# Calo sums:
CALO0   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO1   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO2   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  2  2  2  1  0  0  0  0  0  0  0
CALO3   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  0
CALO4   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  0
CALO5   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  0
CALO6   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  2  2  6  5  4  4  2  0  0  0  0  0  0  0
CALO7   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  0  0  0  0
CALO8   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  0  0  0  0
CALO9   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  0  0  0  0
CALO10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  0  0  0  0
CALO11  0  0  0  0  0  0  2  4  4  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO12  8  8  0  0  0  0  2  4  4  4  4  0  0  0  0  0  0  0  8  8  8  8  4  0  0  0  0  0  0  0  0  0  0  4  8  8
CALO13  8  8  0  0  0  0  2  4  4  4  4  0  0  0  0  0  0  0  8  8  8  8  4  0  0  0  0  0  0  1  2  2  2  6  8  8
CALO14  8  8  0  0  0  0  2  4  4  4  4  0  0  0  0  0  0  0  8  8  8  8  4  0  0  0  0  0  0  2  4  4  4  8  8  8
CALO15  8  8  0  0  0  0  1  2  2  2  2  0  0  0  0  0  0  0  8  8  8  8  4  0  0  0  0  0  0  6  8  8  8 10  8  8
CALO16  4  4  0  0  0  0  2  4  4  4  4  0  0  0  0  0  0  0  4  4  4  4  2  0  0  0  0  0  0  6  8  8  8  8  4  4
CALO17  0  5 18 22 22 22 12  4  4  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6  8  8  8  6  0  0
CALO18  0 10 31 31 31 31 14  4  4  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4  4  4  2  0  0
CALO19  2 12 31 31 31 31 14  4  4  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  2  2  2  1  0  2
CALO20  4 14 31 31 31 31 13  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  4  4  4  4  0  0  0  0  0  4
CALO21  4 14 31 31 31 31  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  4  4  6  6  2  2  1  0  0  4
CALO22  4  4  4  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  4  4  8  8  4  4  2  0  0  4
CALO23  4  4  4  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  4  4  8  8  4  4  2  0  0  4
CALO24  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  2  2  6  6  4  4  2  0  0  0
CALO25  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4  4  4  2  0  0  0
CALO26  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
CALO27  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
#TYPE    POS    PT   PHI   ETA   CHR  VCHR  QUAL  RANK  EMPT (ISO) (IDX) (PHIEXTRA) (ETAEXTRA)
EMTF+      0     0     0     0     0     0     0     0     1
EMTF+      1     0     0     0     0     0     0     0     1
EMTF+      2     0     0     0     0     0     0     0     1
EMTF+      3     0     0     0     0     0     0     0     1
EMTF+      4     0     0     0     0     0     0     0     1
EMTF+      5     0     0     0     0     0     0     0     1
EMTF+      6     0     0     0     0     0     0     0     1
EMTF+      7     0     0     0     0     0     0     0     1
EMTF+      8     0     0     0     0     0     0     0     1
EMTF+      9     0     0     0     0     0     0     0     1
EMTF+     10     0     0     0     0     0     0     0     1
EMTF+     11     0     0     0     0     0     0     0     1
EMTF+     12     0     0     0     0     0     0     0     1
EMTF+     13     0     0     0     0     0     0     0     1
EMTF+     14     0     0     0     0     0     0     0     1
EMTF+     15     0     0     0     0     0     0     0     1
EMTF+     16     0     0     0     0     0     0     0     1
EMTF+     17     0     0     0     0     0     0     0     1
OMTF+      0    71    53    85     0     1    12    83     0
OMTF+      1     0     0     0     0     0     0     0     1
OMTF+      2     0     0     0     0     0     0     0     1
OMTF+      3     0     0     0     0     0     0     0     1
OMTF+      4     0     0     0     0     0     0     0     1
OMTF+      5     0     0     0     0     0     0     0     1
OMTF+      6     0     0     0     0     0     0     0     1
OMTF+      7     0     0     0     0     0     0     0     1
OMTF+      8     0     0     0     0     0     0     0     1
OMTF+      9     0     0     0     0     0     0     0     1
OMTF+     10     0     0     0     0     0     0     0     1
OMTF+     11     0     0     0     0     0     0     0     1
OMTF+     12     0     0     0     0     0     0     0     1
OMTF+     13     0     0     0     0     0     0     0     1
OMTF+     14     0     0     0     0     0     0     0     1
OMTF+     15     0     0     0     0     0     0     0     1
OMTF+     16     0     0     0     0     0     0     0     1
OMTF+     17     0     0     0     0     0     0     0     1
BMTF       0     0     0     0     0     0     0     0     1
BMTF       1     0     0     0     0     0     0     0     1
BMTF       2     0     0     0     0     0     0     0     1
BMTF       3     0     0     0     0     0     0     0     1
BMTF       4     0     0     0     0     0     0     0     1
BMTF       5     0     0     0     0     0     0     0     1
BMTF       6     0     0     0     0     0     0     0     1
BMTF       7     0     0     0     0     0     0     0     1
BMTF       8     0     0     0     0     0     0     0     1
BMTF       9     0     0     0     0     0     0     0     1
BMTF      10     0     0     0     0     0     0     0     1
BMTF      11     0     0     0     0     0     0     0     1
BMTF      12     0     0     0     0     0     0     0     1
BMTF      13     0     0     0     0     0     0     0     1
BMTF      14     0     0     0     0     0     0     0     1
BMTF      15     0     0     0     0     0     0     0     1
BMTF      16     0     0     0     0     0     0     0     1
BMTF      17     0     0     0     0     0     0     0     1
BMTF      18     0     0     0     0     0     0     0     1
BMTF      19     0     0     0     0     0     0     0     1
BMTF      20     0     0     0     0     0     0     0     1
BMTF      21     0     0     0     0     0     0     0     1
BMTF      22     0     0     0     0     0     0     0     1
BMTF      23     0     0     0     0     0     0     0     1
BMTF      24     0     0     0     0     0     0     0     1
BMTF      25     0     0     0     0     0     0     0     1
BMTF      26     0     0     0     0     0     0     0     1
BMTF      27     0     0     0     0     0     0     0     1
BMTF      28     0     0     0     0     0     0     0     1
BMTF      29     0     0     0     0     0     0     0     1
BMTF      30     0     0     0     0     0     0     0     1
BMTF      31     0     0     0     0     0     0     0     1
BMTF      32     0     0     0     0     0     0     0     1
BMTF      33     0     0     0     0     0     0     0     1
BMTF      34     0     0     0     0     0     0     0     1
BMTF      35     0     0     0     0     0     0     0     1
OMTF-      0     0     0     0     0     0     0     0     1
OMTF-      1     0     0     0     0     0     0     0     1
OMTF-      2     0     0     0     0     0     0     0     1
OMTF-      3     0     0     0     0     0     0     0     1
OMTF-      4     0     0     0     0     0     0     0     1
OMTF-      5     0     0     0     0     0     0     0     1
OMTF-      6     0     0     0     0     0     0     0     1
OMTF-      7     0     0     0     0     0     0     0     1
OMTF-      8     0     0     0     0     0     0     0     1
OMTF-      9     0     0     0     0     0     0     0     1
OMTF-     10     0     0     0     0     0     0     0     1
OMTF-     11     0     0     0     0     0     0     0     1
OMTF-     12     0     0     0     0     0     0     0     1
OMTF-     13     0     0     0     0     0     0     0     1
OMTF-     14     0     0     0     0     0     0     0     1
OMTF-     15     0     0     0     0     0     0     0     1
OMTF-     16     0     0     0     0     0     0     0     1
OMTF-     17     0     0     0     0     0     0     0     1
EMTF-      0     0     0     0     0     0     0     0     1
EMTF-      1     0     0     0     0     0     0     0     1
EMTF-      2     0     0     0     0     0     0     0     1
EMTF-      3     0     0     0     0     0     0     0     1
EMTF-      4     0     0     0     0     0     0     0     1
EMTF-      5     0     0     0     0     0     0     0     1
EMTF-      6     0     0     0     0     0     0     0     1
EMTF-      7     0     0     0     0     0     0     0     1
EMTF-      8     0     0     0     0     0     0     0     1
EMTF-      9     0     0     0     0     0     0     0     1
EMTF-     10     0     0     0     0     0     0     0     1
EMTF-     11     0     0     0     0     0     0     0     1
EMTF-     12     0     0     0     0     0     0     0     1
EMTF-     13     0     0     0     0     0     0     0     1
EMTF-     14     0     0     0     0     0     0     0     1
EMTF-     15     0     0     0     0     0     0     0     1
EMTF-     16     0     0     0     0     0     0     0     1
EMTF-     17     0     0     0     0     0     0     0     1
# OVERLAP/ENDCAP TRACKS
#TYPE   ETA0 FINE0  PHI0 QUAL0 EMPT0  ETA1 FINE1  PHI1 QUAL1 EMPT1  ETA2 FINE2  PHI2 QUAL2 EMPT2
# BARREL TRACKS
#TYPE   ETA0 FINE0  PHI0 QUAL0  SEL0 SIDE0  WHL0 SCT10 SCT20 SCT30 SCT40 EMPT0  ETA1 FINE1  PHI1 QUAL1  SEL1 SIDE1  WHL1 SCT11 SCT21 SCT31 SCT41 EMPT1  ETA2 FINE2  PHI2 QUAL2  SEL2 SIDE2  WHL2 SCT12 SCT22 SCT32 SCT42 EMPT2
ETRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
ETRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK+     85     0    29    12     0     0     0     0     0     1     0     0     0     0     1
OTRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
OTRK+      0     0     0     0     1     0     0     0     0     1     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
BTRK       0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     1
